0	463	0	0	0	0	0	0	0	42	0	126	0	0	0
463	0	421	210	696	0	0	0	398	442	0	476	0	0	0
0	421	0	0	0	81	0	0	0	0	0	0	0	0	0
0	210	0	0	0	0	0	0	0	0	280	0	0	0	0
0	696	0	0	0	220	0	1646	0	0	0	382	621	1416	1646
0	0	81	0	220	0	0	0	0	0	0	376	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	511	381	0
0	0	0	0	1646	0	0	0	0	0	0	1849	1263	517	247
0	398	0	0	0	0	0	0	0	96	132	0	0	0	0
42	442	0	0	0	0	0	0	96	0	0	0	0	0	0
0	0	0	280	0	0	0	0	132	0	0	0	0	0	0
126	476	0	0	382	376	0	1849	0	0	0	0	0	1621	1851
0	0	0	0	621	0	511	1263	0	0	0	0	0	748	1263
0	0	0	0	1416	0	381	517	0	0	0	1621	748	0	517
0	0	0	0	1646	0	0	247	0	0	0	1851	1263	517	0

